invoice_id,location_id,customer_id,route_id,internal_id,status,pieces,total,base_price,upcharge_total,alteration_total,void_total,coupon_total,adjustment_total,discount_total,enviro_total,tax_total,writeoff_total,detail_clerk,pickup_clerk,kiosk,coupon,import_year,dropoff_at,ready_at,pickup_at,updated_at,created_at,visit_id,location
23937094,1,23528,45,12-015717,processing,1,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0,DI,,0,,2025,2025-12-17T21:48:00.000Z,,,2025-12-18T08:15:15.000Z,2025-12-18T08:15:15.000Z,15015805,"{'type_name': 'Store', 'location_id': 1, 'company_id': 1, 'internal_id': '1', 'type': 1, 'name': 'Store #0001', 'lat': None, 'lng': None, 'barcode_abbr': 'GAGA', 'manager': '', 'hours': '', 'birdeye_id': None, 'created_at': '2025-01-13T11:12:39.000Z'}"
23937089,1,27367,52,12-015712,processing,1,7.92,9.0,0.0,0,0,0.0,0,-1.08,0,0.0,0,EA,,0,,2025,2025-12-17T21:42:00.000Z,,,2025-12-18T08:15:15.000Z,2025-12-18T08:15:15.000Z,15015772,"{'type_name': 'Store', 'location_id': 1, 'company_id': 1, 'internal_id': '1', 'type': 1, 'name': 'Store #0001', 'lat': None, 'lng': None, 'barcode_abbr': 'GAGA', 'manager': '', 'hours': '', 'birdeye_id': None, 'created_at': '2025-01-13T11:12:39.000Z'}"
23937088,1,27367,52,12-015711,processing,2,7.48,8.5,0.0,0,0,0.0,0,-1.02,0,0.0,0,EA,,0,,2025,2025-12-17T21:42:00.000Z,,,2025-12-18T08:15:15.000Z,2025-12-18T08:15:15.000Z,15015772,"{'type_name': 'Store', 'location_id': 1, 'company_id': 1, 'internal_id': '1', 'type': 1, 'name': 'Store #0001', 'lat': None, 'lng': None, 'barcode_abbr': 'GAGA', 'manager': '', 'hours': '', 'birdeye_id': None, 'created_at': '2025-01-13T11:12:39.000Z'}"
23937085,1,22370,45,12-015708,processing,1,9.0,9.0,0.0,0,0,0.0,0,0.0,0,0.0,0,DI,,0,,2025,2025-12-17T21:38:00.000Z,,,2025-12-18T08:15:15.000Z,2025-12-18T08:15:15.000Z,15015746,"{'type_name': 'Store', 'location_id': 1, 'company_id': 1, 'internal_id': '1', 'type': 1, 'name': 'Store #0001', 'lat': None, 'lng': None, 'barcode_abbr': 'GAGA', 'manager': '', 'hours': '', 'birdeye_id': None, 'created_at': '2025-01-13T11:12:39.000Z'}"
23937087,1,22370,45,12-015710,processing,1,8.0,8.0,0.0,0,0,0.0,0,0.0,0,0.0,0,DI,,0,,2025,2025-12-17T21:38:00.000Z,,,2025-12-18T08:15:15.000Z,2025-12-18T08:15:15.000Z,15015746,"{'type_name': 'Store', 'location_id': 1, 'company_id': 1, 'internal_id': '1', 'type': 1, 'name': 'Store #0001', 'lat': None, 'lng': None, 'barcode_abbr': 'GAGA', 'manager': '', 'hours': '', 'birdeye_id': None, 'created_at': '2025-01-13T11:12:39.000Z'}"
23937080,1,23472,45,12-015703,processing,6,66.82,50.25,16.57,0,0,0.0,0,0.0,0,0.0,0,DI,,0,,2025,2025-12-17T21:32:00.000Z,,,2025-12-18T08:15:15.000Z,2025-12-18T08:15:15.000Z,15015713,"{'type_name': 'Store', 'location_id': 1, 'company_id': 1, 'internal_id': '1', 'type': 1, 'name': 'Store #0001', 'lat': None, 'lng': None, 'barcode_abbr': 'GAGA', 'manager': '', 'hours': '', 'birdeye_id': None, 'created_at': '2025-01-13T11:12:39.000Z'}"
23937093,1,23472,45,12-015716,processing,1,4.25,4.25,0.0,0,0,0.0,0,0.0,0,0.0,0,DI,,0,,2025,2025-12-17T21:32:00.000Z,,,2025-12-18T08:15:15.000Z,2025-12-18T08:15:15.000Z,15015713,"{'type_name': 'Store', 'location_id': 1, 'company_id': 1, 'internal_id': '1', 'type': 1, 'name': 'Store #0001', 'lat': None, 'lng': None, 'barcode_abbr': 'GAGA', 'manager': '', 'hours': '', 'birdeye_id': None, 'created_at': '2025-01-13T11:12:39.000Z'}"
23937081,1,24929,52,12-015704,processing,1,9.45,9.45,0.0,0,0,0.0,0,0.0,0,0.0,0,EA,,0,,2025,2025-12-17T21:32:00.000Z,,,2025-12-18T08:15:15.000Z,2025-12-18T08:15:15.000Z,15015714,"{'type_name': 'Store', 'location_id': 1, 'company_id': 1, 'internal_id': '1', 'type': 1, 'name': 'Store #0001', 'lat': None, 'lng': None, 'barcode_abbr': 'GAGA', 'manager': '', 'hours': '', 'birdeye_id': None, 'created_at': '2025-01-13T11:12:39.000Z'}"
23937082,1,24929,52,12-015705,processing,3,12.75,12.75,0.0,0,0,0.0,0,0.0,0,0.0,0,EA,,0,,2025,2025-12-17T21:32:00.000Z,,,2025-12-18T08:15:15.000Z,2025-12-18T08:15:15.000Z,15015714,"{'type_name': 'Store', 'location_id': 1, 'company_id': 1, 'internal_id': '1', 'type': 1, 'name': 'Store #0001', 'lat': None, 'lng': None, 'barcode_abbr': 'GAGA', 'manager': '', 'hours': '', 'birdeye_id': None, 'created_at': '2025-01-13T11:12:39.000Z'}"
23937084,1,24929,52,12-015707,processing,1,18.9,0.0,18.9,0,0,0.0,0,0.0,0,0.0,0,EA,,0,,2025,2025-12-17T21:32:00.000Z,,,2025-12-18T08:15:15.000Z,2025-12-18T08:15:15.000Z,15015714,"{'type_name': 'Store', 'location_id': 1, 'company_id': 1, 'internal_id': '1', 'type': 1, 'name': 'Store #0001', 'lat': None, 'lng': None, 'barcode_abbr': 'GAGA', 'manager': '', 'hours': '', 'birdeye_id': None, 'created_at': '2025-01-13T11:12:39.000Z'}"
